ementa,norma,tornada_sem_efeito,alterada,data,outros,tipo_normatico,publicacao,revogada,em_vigor,anexos,tags
Tornar pública a emissão do Certificado de CIAC e revoga os cursos teóricos de PPA e teórico/prático de MMA da Aeronop Escola Manutenção e Serviço Aéreo Especializado Ltda.,"PORTARIA Nº 4571/SPL, 22/03/2021",,,2021-03-22,,Portaria,"DOU 26/03/2021, Seção 1, pág.78",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4571-spl-22-03-2021/@@display-file/arquivo_norma/PA2021-4571.pdf,['portaria']
Inscreve o Aeródromo Privado Avelino Remor (PA) no cadastro de aeródromos.,"PORTARIA Nº 4563/SIA, 19/03/2021",,,2021-03-19,,Portaria,"DOU 09/04/2021, Seção 1, pág.116",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4563-sia-19-03-2021/@@display-file/arquivo_norma/PA2021-4563.pdf,['portaria']
Inscreve o Aeródromo Privado Fly Aviação Agrícola (MT) no cadastro de aeródromos.,"PORTARIA Nº 4564/SIA, 19/03/2021",,,2021-03-19,,Portaria,"DOU 09/04/2021, Seção 1, pág.116",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4564-sia-19-03-2021/@@display-file/arquivo_norma/PA2021-4564-%20Com%20OBS%20.pdf,['portaria']
Renova e altera a inscrição do Heliponto Privado Vila São Paulo/Mercosul (PR) no cadastro de aeródromos.,"PORTARIA Nº 4565/SIA, 19/03/2021",,,2021-03-19,,Portaria,"DOU 26/03/2021, Seção 1, pág.77",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4565-sia-19-03-2021/@@display-file/arquivo_norma/PA2021-4565-%20Com%20OBS%20.pdf,"['alteração', 'portaria']"
"Torna pública a aplicação de medida cautelar de restrição às operações de pouso de aeronaves de asa fixa no aeródromo público Araguari, localizado em Município de Araguari/MG.","PORTARIA Nº 4562/SIA, 19/03/2021",,,2021-03-19,,Portaria,"DOU 24/03/2021, Seção 1, pág.80",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4562-sia-19-03-2021/@@display-file/arquivo_norma/PA2021-4562.pdf,['portaria']
Torna pública a emissão do Certificado de CIAC da Natal Escola de Aviação Civil Ltda.,"PORTARIA Nº 4566/SPL, 19/03/2021",,,2021-03-19,,Portaria,"DOU 26/03/2021, Seção 1, pág.78",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4566-spl-19-03-2021/@@display-file/arquivo_norma/PA2021-4566.pdf,['portaria']
Inscreve o Aeródromo Privado Serrinha (PR) no cadastro de aeródromos.,"PORTARIA Nº 4559/SIA, 18/03/2021",,,2021-03-18,,Portaria,"DOU 30/03/2021, Seção 1, pág.154",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4559-sia-18-03-2021/@@display-file/arquivo_norma/PA2021-4559-%20Com%20OBS%20.pdf,['portaria']
Suspende cautelarmente a homologação do prático de CPA da JPA - Escola de Aviação Civil Ltda. - ME.,"PORTARIA Nº 4554/SPL, 18/03/2021",,,2021-03-18,,Portaria,"DOU 17/06/2021, Seção 1, pág.73",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/2021/portaria-no-4554-spl-18-03-2021/@@display-file/arquivo_norma/PA2021-4554.pdf,['portaria']
Autoriza a operação de associação de serviços aéreos públicos - Aeroclube de Montenegro.,"DECISÃO Nº 311, 17/03/2021",,,2021-03-17,,Decisão,"DOU 19/03/2021, Seção 1, pág.69",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2021/decisao-no-311-17-03-2021/@@display-file/arquivo_norma/DA2021-0311.pdf,['decisão']
Autoriza a operação de associação de serviços aéreos públicos - Aeroclube de Rio Claro.,"DECISÃO Nº 307, 17/03/2021",,,2021-03-17,,Decisão,"DOU 19/03/2021, Seção 1, pág.69",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2021/decisao-no-307-17-03-2021/@@display-file/arquivo_norma/DA2021-0307.pdf,['decisão']
Autoriza a operação de associação de serviços aéreos públicos - Aeroclube do Paraná.,"DECISÃO Nº 312, 17/03/2021",,,2021-03-17,,Decisão,"DOU 19/03/2021, Seção 1, pág.69",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2021/decisao-no-312-17-03-2021/@@display-file/arquivo_norma/DA2021-0312.pdf,['decisão']
Autoriza a operação de sociedade empresária de serviços aéreos públicos - Interávia Táxi Aéreo Ltda.,"DECISÃO Nº 313, 17/03/2021",,,2021-03-17,,Decisão,"DOU 19/03/2021, Seção 1, pág.69",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/2021/decisao-no-313-17-03-2021/@@display-file/arquivo_norma/DA2021-0313.pdf,['decisão']
