ementa,norma,tornada_sem_efeito,alterada,data,outros,tipo_normatico,publicacao,revogada,em_vigor,anexos,tags
Renova a inscrição do aeródromo privado Chácara São José (MT) no cadastro de aeródromos.,Portaria nº 0215/SIA de 28/01/2015,,,2015-01-28,,Portaria,"DOU 29/01/2015, Seção 1, Pág 27",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0215-sia-de-28-01-2015/@@display-file/arquivo_norma/PA2015-0215.pdf,['portaria']
Renova a inscrição do aeródromo privado Fazenda Morada do Sol (MT) no cadastro de aeródromos.,Portaria nº 0217/SIA de 28/01/2015,,,2015-01-28,,Portaria,"DOU 29/01/2015, Seção 1, Pág 27",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0217-sia-de-28-01-2015/@@display-file/arquivo_norma/PA2015-0217.pdf,['portaria']
"Revalida credenciamento de clínica com base na Seção 67.39 do RBAC 67, para fins de emissão de Certificado Médico Aeronáutico de 1ª, 2ª e 4ª classes, em conformidade com o RBAC 67.",Portaria nº 0225/SPO de 28/01/2015,,,2015-01-28,,Portaria,"DOU 29/01/2015, Seção 1, Pág 27",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0225-spo-de-28-01-2015/@@display-file/arquivo_norma/PA2015-0225.pdf,"['67.39', 'portaria', 'rbac']"
"Torna pública a emissão de Certificado de Organização de Manutenção de Nº 1501-31/ANAC, emitido em favor da oficina de manutenção de produto aeronáutico OTTO Instrument Service, Inc., válido até 31 de janeiro de 2017.",Portaria nº 0226/SAR de 28/01/2015,,,2015-01-28,,Portaria,"DOU 29/01/2015, Seção 1, Pág 26",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0226-sar-de-28-01-2015/@@display-file/arquivo_norma/PA2015-0226.pdf,['portaria']
"Altera dispositivos da Instrução Normativa Nº 33, de 12 de janeiro de 2010",Instrução Normativa nº 082 de 27/01/2015,,,2015-01-27,,Instrução Normativa,"BPS V.10, Nº 5, de  30/01/2015","Instrução Normativa nº 166, de 01.10.2020",,,['alteração']
"Altera a inscrição do Aeródromo Cururu (PA) no cadastro de aeródromos, modificando seu tipo de uso de Público para Privado.",Portaria nº 0209/SIA de 27/01/2015,,,2015-01-27,,Portaria,"DOU 02/02/2015, Seção 1, Pág 3",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0209-sia-de-27-01-2015/@@display-file/arquivo_norma/PA2015-0209.pdf,"['alteração', 'modificação', 'portaria']"
Autoriza o funcionamento e homologa o curso teórico de PPA e o curso teórico/prático de CMV da Natal Escola de Aviação Civil.,Portaria nº 0206/SPO de 26/01/2015,,,2015-01-26,,Portaria,"DOU 27/01/2015, Seção 1, Pág 12",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0206-spo-de-26-01-2015/@@display-file/arquivo_norma/PA2015-0206.pdf,['portaria']
"Defere pedido de Nível Equivalente de Segurança para a seção 25.904, do RBHA 25, para o avião Gulfstream G280.",Portaria nº 0207/SAR de 26/01/2015,,,2015-01-26,,Portaria,"DOU 27/01/2015, Seção 1, Pág 12",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0207-sar-de-26-01-2015/@@display-file/arquivo_norma/PA2015-0207.pdf,"['25.904', 'nível equivalente de segurança', 'portaria', 'rbha']"
"Defere pedido de Nível Equivalente de Segurança para o parágrafo 25.1141(f)(2), do RBHA 25, para o avião Gulfstream G280.",Portaria nº 0208/SAR de 26/01/2015,,,2015-01-26,,Portaria,"DOU 27/01/2015, Seção 1, Pág 12",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0208-sar-de-26-01-2015/@@display-file/arquivo_norma/PA2015-0208.pdf,"['25.1141', 'nível equivalente de segurança', 'portaria', 'rbha']"
Suspende Cautelarmente a Homologação do Curso de CMV da Aerocon Escola de Aviação Civil.,Portaria nº 0204/SPO de 26/01/2015,,,2015-01-26,,Portaria,"DOU 27/01/2015, Seção 1, Pág 12",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0204-spo-de-26-01-2015/@@display-file/arquivo_norma/PA2015-0204.pdf,['portaria']
"Suspende cautelarmente a homologação dos cursos práticos de PPA, PCA, INVA e IFR da NET Aviation Escola de Aviação Civil.",Portaria nº 0203/SPO de 26/01/2015,,,2015-01-26,,Portaria,"DOU 27/01/2015, Seção 1, Pág 12",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0203-spo-de-26-01-2015/@@display-file/arquivo_norma/PA2015-0203.pdf,['portaria']
"Suspende cautelarmente a homologação dos cursos práticos de PPA, PCA, INVA e IFR do Aeroclube Escola de Pilotagem de Maricá.",Portaria nº 0205/SPO de 26/01/2015,,,2015-01-26,,Portaria,"DOU 27/01/2015, Seção 1, Pág 12",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0205-spo-de-26-01-2015/@@display-file/arquivo_norma/PA2015-0205.pdf,['portaria']
"Suspende cautelarmente a homologação dos cursos teórico/prático de MMA-CEL, MMA-GMP e MMA-AVI da Proflight Escola de Aviação Civil.",Portaria nº 0202/SPO de 26/01/2015,,,2015-01-26,,Portaria,"DOU 27/01/2015, Seção 1, Pág 12",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0202-spo-de-26-01-2015/@@display-file/arquivo_norma/PA2015-0202.pdf,['portaria']
Suspender cautelarmente a homologação do curso teórico/prático de CMV da Escola de Aviação Civil Hélio Roberto do Amaral.,Portaria nº 0201/SPO de 26/01/2015,,,2015-01-26,,Portaria,"DOU 27/01/2015, Seção 1, Pág 12",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0201-spo-de-26-01-2015/@@display-file/arquivo_norma/PA2015-0201.pdf,['portaria']
Altera a inscrição do aeródromo privado Fazenda Silvana (MS) no cadastro de aeródromos.,Portaria nº 0161/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 1",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0161-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0161.pdf,"['alteração', 'portaria']"
Altera a inscrição do aeródromo privado Fazenda da Paz (SP) no cadastro de aeródromos.,Portaria nº 0163/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 15/01/2015, Seção 1, Pág 1",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0163-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0163.pdf,"['alteração', 'portaria']"
Altera a inscrição do heliponto privado Casa de Campo (SP) no cadastro de aeródromos.,Portaria nº 0179/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 1","Portaria nº 2.027/SIA, de 28 de junho de 2018.",,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0179-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0179.pdf,"['alteração', 'portaria']"
Altera a inscrição do heliponto privado Royal Palm Plaza (SP) no cadastro de aeródromos.,Portaria nº 0175/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 1",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0175-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0175.pdf,"['alteração', 'portaria']"
Aprova o Plano Diretor do Aeroporto de Londrina/PR - Governador José Richa (SBLO).,Portaria nº 0191/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 28/01/2015, Seção 1, Pág 8",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0191-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0191.pdf,"['aprovação', 'portaria']"
Homologa o heliponto em navio privado Olympia (RJ).,Portaria nº 0190/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 2",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0190-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0190.pdf,['portaria']
Homologa o heliponto em plataforma privado Pampo-1 (RJ).,Portaria nº 0189/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 2",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0189-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0189.pdf,['portaria']
Inscreve o aeródromo privado Clemente Verillo (SP) no cadastro de aeródromos.,Portaria nº 0168/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 1","Portaria nº 2096/SIA, de 12 de agosto de 2016",,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0168-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0168.pdf,['portaria']
Inscreve o aeródromo privado Fazenda Aero - Amil (SC) no cadastro de aeródromos.,Portaria nº 0158/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 15/01/2015, Seção 1, Pág 1",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0158-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0158.pdf,['portaria']
Inscreve o aeródromo privado Fazenda Europa (MT) no cadastro de aeródromos.,Portaria nº 0164/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 1",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0164-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0164.pdf,['portaria']
Inscreve o aeródromo privado Fazenda Juruna (MT) no cadastro de aeródromos.,Portaria nº 0162/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 1",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0162-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0162.pdf,['portaria']
Inscreve o aeródromo privado Fazenda Recanto (MS) no cadastro de aeródromos.,Portaria nº 0160/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 15/01/2015, Seção 1, Pág 1","Portaria Nº 3.028/SIA, de 28 de setembro de 2018",,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0160-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0160.pdf,['portaria']
Inscreve o aeródromo privado Fazenda Tucumã (BA) no cadastro de aeródromos.,Portaria nº 0159/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 1",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0159-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0159.pdf,['portaria']
Inscreve o aeródromo privado Sunset (SC) no cadastro de aeródromos.,Portaria nº 0166/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 15/01/2015, Seção 1, Pág 1","Portaria nº 9628/SIA, de 26 de outubro de 2022.",,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0166-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0166.pdf,['portaria']
Inscreve o heliponto privado 18 do Forte Empresarial (SP) no cadastro de aeródromos.,Portaria nº 0184/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 2",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0184-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0184.pdf,['portaria']
Inscreve o heliponto privado Boa Vista (SP) no cadastro de aeródromos.,Portaria nº 0187/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 2",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0187-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0187.pdf,['portaria']
Inscreve o heliponto privado Do Crer (GO) no cadastro de aeródromos.,Portaria nº 0173/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 1","Revogada pela Portaria nº 5.698/SIA, de 16 de agosto de 2021.",,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0173-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0173.pdf,['portaria']
Inscreve o heliponto privado Grupo Petrópolis (RJ) no cadastro de aeródromos.,Portaria nº 0186/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 2",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0186-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0186.pdf,['portaria']
Inscreve o heliponto privado Hellix Business Center (RJ) no cadastro de aeródromos.,Portaria nº 0170/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 1",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0170-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0170.pdf,['portaria']
Inscreve o heliponto privado Hospital Marcio Cunha (MG) no cadastro de aeródromos.,Portaria nº 0172/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 15/01/2015, Seção 1, Pág 1",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0172-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0172.pdf,['portaria']
Inscreve o heliponto privado Hospital São José (SP) no cadastro de aeródromos.,Portaria nº 0180/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 2",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0180-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0180.pdf,['portaria']
Inscreve o heliponto privado Igarashi (SC) no cadastro de aeródromos.,Portaria nº 0185/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 2","Portaria nº 3128/SIA, de 12 de setembro de 2017.",,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0185-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0185.pdf,['portaria']
Inscreve o heliponto privado Luciano Peixoto (GO) no cadastro de aeródromos.,Portaria nº 0188/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 2",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0188-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0188.pdf,['portaria']
Inscreve o heliponto privado Main Estate (SP) no cadastro de aeródromos.,Portaria nº 0171/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 1",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0171-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0171.pdf,['portaria']
Inscreve o heliponto privado Mega Mix (SP) no cadastro de aeródromos.,Portaria nº 0181/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 2",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0181-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0181.pdf,['portaria']
Inscreve o heliponto privado Palácio do Governo do Estado do Amazonas (AM) no cadastro de aeródromos.,Portaria nº 0169/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 15/01/2015, Seção 1, Pág 1",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0169-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0169.pdf,['portaria']
Inscreve o heliponto privado Pátio Victor Malzoni (SP) no cadastro de aeródromos.,Portaria nº 0176/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 1",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0176-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0176.pdf,['portaria']
Inscreve o heliponto privado Quinta da Baroneza I (SP) no cadastro de aeródromos.,Portaria nº 0177/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 1",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0177-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0177.pdf,['portaria']
Inscreve o heliponto privado Taxaquara Golf Club (SP) no cadastro de aeródromos.,Portaria nº 0183/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 2",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0183-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0183.pdf,['portaria']
Inscreve o heliponto privado Zimba D. Pedro I (SP) no cadastro de aeródromos.,Portaria nº 0178/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 1",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0178-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0178.pdf,['portaria']
Renova a inscrição do aeródromo privado Dr. José de Arruda Botelho (SP) no cadastro de aeródromos.,Portaria nº 0167/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 1","Portaria nº 1473/SIA, de 10 de junho de 2016",,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0167-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0167.pdf,['portaria']
Renova a inscrição do aeródromo privado Usina Santa Lydia (SP) no cadastro de aeródromos.,Portaria nº 0165/SIA de 23/01/2015,,,2015-01-23,,Portaria,"DOU 26/01/2015, Seção 1, Pág 1",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0165-sia-de-23-01-2015/@@display-file/arquivo_norma/PA2015-0165.pdf,['portaria']
Autoriza o funcionamento jurídico de sociedade empresária de serviço aéreo público especializado - Aero Agrícola Tabajara Ltda.,Portaria nº 0135/SRE de 22/01/2015,,,2015-01-22,,Portaria,"DOU 23/01/2015, Seção 1, Pág 3",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0135-sre-de-22-01-2015/@@display-file/arquivo_norma/PA2015-0135.pdf,['portaria']
Autoriza o funcionamento jurídico de sociedade empresária de táxi aéreo - Link Táxi Aéreo Ltda.,Portaria nº 0134/SRE de 22/01/2015,,,2015-01-22,,Portaria,"DOU 23/01/2015, Seção 1, Pág 3",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0134-sre-de-22-01-2015/@@display-file/arquivo_norma/PA2015-0134.pdf,['portaria']
"Defere pedido de Nível Equivalente de Segurança para o parágrafo 25.1389(b)(3) e a seção 25.1395, do RBHA 25, para o avião Embraer EMB-170.",Portaria nº 0151/SAR de 22/01/2015,,,2015-01-22,,Portaria,"DOU 23/01/2015, Seção 1, Pág 2",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0151-sar-de-22-01-2015/@@display-file/arquivo_norma/PA2015-0151.pdf,"['25.1389', '25.1395', 'embraer', 'nível equivalente de segurança', 'portaria', 'rbha']"
"Defere pedido de Nível Equivalente de Segurança para o parágrafo 25.1389(b)(3) e a seção 25.1395, do RBHA 25, para o avião Embraer EMB-190.",Portaria nº 0150/SAR de 22/01/2015,,,2015-01-22,,Portaria,"DOU 23/01/2015, Seção 1, Pág 2",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0150-sar-de-22-01-2015/@@display-file/arquivo_norma/PA2015-0150.pdf,"['25.1389', '25.1395', 'embraer', 'nível equivalente de segurança', 'portaria', 'rbha']"
Homologa o curso teórico de INVA da Voar Escola de Aviação Civil.,Portaria nº 0154/SPO de 22/01/2015,,,2015-01-22,,Portaria,"DOU 23/01/2015, Seção 1, Pág 3",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0154-spo-de-22-01-2015/@@display-file/arquivo_norma/PA2015-0154.pdf,['portaria']
"Renova a homologação dos cursos teóricos de PPA, PPH, PCA/IFR, PCH e IFR do Centro Universitário Una - Instituto Una de Tecnologia (UNATEC).",Portaria nº 0155/SPO de 22/01/2015,,,2015-01-22,,Portaria,"DOU 23/01/2015, Seção 1, Pág 3",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0155-spo-de-22-01-2015/@@display-file/arquivo_norma/PA2015-0155.pdf,['portaria']
"Revoga a suspensão cautelar da homologação dos cursos práticos de PPA, PCA, INVA e IFR da Starflight Escola de Aviação Civil.",Portaria nº 0156/SPO de 22/01/2015,,,2015-01-22,,Portaria,"DOU 23/01/2015, Seção 1, Pág 3",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0156-spo-de-22-01-2015/@@display-file/arquivo_norma/PA2015-0156.pdf,['portaria']
Suspende cautelarmente a autorização de funcionamento e a homologação dos cursos de CPD e CPR da EVALE - Escola de Voo para Aeronaves Leves e Esportivas.,Portaria nº 0153/SPO de 22/01/2015,,,2015-01-22,,Portaria,"DOU 23/01/2015, Seção 1, Pág 3",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0153-spo-de-22-01-2015/@@display-file/arquivo_norma/PA2015-0153.pdf,['portaria']
"Torna pública a emissão de Certificado de Organização de Manutenção de Nº 1501-41/ANAC, emitido em favor da oficina de manutenção de produto aeronáutico Miami Tech Aircraft Maintenance, INC., válido até 31 de janeiro de 2017.",Portaria nº 0152/SAR de 22/01/2015,,,2015-01-22,,Portaria,"DOU 23/01/2015, Seção 1, Pág 3",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0152-sar-de-22-01-2015/@@display-file/arquivo_norma/PA2015-0152.pdf,['portaria']
"Altera a inscrição do Aeródromo Creputiá (PA) no cadastro de aeródromos, modificando seu tipo de uso de Público para Privado.",Portaria nº 0132/SIA de 21/01/2015,,,2015-01-21,,Portaria,"DOU 23/01/2015, Seção 1, Pág 3",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0132-sia-de-21-01-2015/@@display-file/arquivo_norma/PA2015-0132.pdf,"['alteração', 'modificação', 'portaria']"
Renova a autorização operacional de sociedade empresária de serviço aéreo público especializado - Mercaer Aviação Agrícola Ltda.,Decisão nº 006 de 20/01/2015,,,2015-01-20,,Decisão,"DOU 28/01/2015, Seção 1, p.8","Decisão nº 142, de 9 de outubro de 2019.",,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/decisoes-2015/decisao-no-006-de-20-01-2015/@@display-file/arquivo_norma/DA2015-0006.pdf,['decisão']
Renova a autorização operacional de sociedade empresária de táxi aéreo - Paramazônia Táxi Aéreo Ltda.,Decisão nº 007 de 20/01/2015,,,2015-01-20,,Decisão,"DOU 28/01/2015, Seção 1, p.8","Decisão nº 154, de 31 de outubro de 2019.",,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/decisoes-2015/decisao-no-007-de-20-01-2015/@@display-file/arquivo_norma/DA2015-0007.pdf,['decisão']
Revoga a autorização operacional de sociedade empresária de táxi aéreo - Aquila Táxi Aéreo Ltda.,Decisão nº 008 de 20/01/2015,,,2015-01-20,,Decisão,"DOU 28/01/2015, Seção 1, p.8",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/decisoes/decisoes-2015/decisao-no-008-de-20-01-2015/@@display-file/arquivo_norma/DA2015-0008.pdf,['decisão']
Concede Certificado Operacional de Aeroporto à Empresa Brasileira de Infraestrutura Aeroportuária - INFRAERO no Aeroporto Internacional de Manaus - Eduardo Gomes (SBEG).,Portaria nº 0125/SIA de 16/01/2015,,,2015-01-16,,Portaria,"DOU 19/01/2015, Seção 1, Pág 14","Portaria nº 6.894/SIA, de 3 de janeiro de 2022.",,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0125-sia-de-16-01-2015/@@display-file/arquivo_norma/PA2015-0125%20-%20Compilado%20até%20PA2017-1124.pdf,['portaria']
"Altera a inscrição do Aeródromo Diauarum (MT) no cadastro de aeródromos, modificando seu tipo de uso de Público para Privado.",Portaria nº 0111/SIA de 15/01/2015,,,2015-01-15,,Portaria,"DOU 16/01/2015, Seção 1, Pág 1","Portaria Nº 2398/SIA, de 9 de setembro de 2015",,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0111-sia-de-15-01-2015/@@display-file/arquivo_norma/PA2015-0111.pdf,"['alteração', 'modificação', 'portaria']"
Autoriza o funcionamento como entidade de ensino de Transporte Aéreo de Artigos Perigosos da IN SOLO Apoio Aéreo Ltda.,Portaria nº 0110/SPO de 15/01/2015,,,2015-01-15,,Portaria,"DOU 16/01/2015, Seção 1, Pág 1",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0110-spo-de-15-01-2015/@@display-file/arquivo_norma/PA2015-0110.pdf,['portaria']
Autoriza o funcionamento e homologa o curso prático de PPA da C. A. Pereira Escola de Aviação Civil (Aeromake Escola de Aviação Civil).,Portaria nº 0107/SPO de 15/01/2015,,,2015-01-15,,Portaria,"DOU 16/01/2015, Seção 1, Pág 1",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0107-spo-de-15-01-2015/@@display-file/arquivo_norma/PA2015-0107.pdf,['portaria']
Autoriza o funcionamento e homologa o curso teórico/prático de CMV da Alfa Escola de Aviação Civil.,Portaria nº 0106/SPO de 15/01/2015,,,2015-01-15,,Portaria,"DOU 16/01/2015, Seção 1, Pág 1",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0106-spo-de-15-01-2015/@@display-file/arquivo_norma/PA2015-0106.pdf,['portaria']
Exclui o Aeródromo Público Mombaça (CE) do cadastro de aeródromos.,Portaria nº 0112/SIA de 15/01/2015,,,2015-01-15,,Portaria,"DOU 16/01/2015, Seção 1, Pág 1",,,https://www.anac.gov.br/assuntos/legislacao/legislacao-1/portarias/portarias-2015/portaria-no-0112-sia-de-15-01-2015/@@display-file/arquivo_norma/PA2015-0112.pdf,['portaria']
