"Tipo normativo"	"Norma"	"Publicação"	"Ementa"	"Data"	"Em vigor"	"Revogada"	"Tornada sem efeito"	"Alterada"	"Outros"	"Anexos"
"Instrução Normativa"	"Instrução Normativa nº 143, 16/09/2019"	"BPS V.14, Nº 38, 20/09/2019"	"Altera a Instrução Normativa nº 66, de 13 de novembro de 2012."	"43724"	""	""	""	""	"Retificado no BPS v.14, nº 40, de 4 de outubro de 2019."	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2019/instrucao-normativa-no-143-16-09-2019@@download/arquivo_norma/IN2019-0143 - Retificado.pdf"
"Instrução Normativa"	"Instrução Normativa nº 144, 16/09/2019"	"BPS V.14, Nº 38, 20/09/2019"	"Altera a Instrução Normativa nº 114, de 5 de maio de 2017."	"43724"	""	""	""	""	"Retificado no BPS v.14, nº 40, de 4 de outubro de 2019."	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2019/instrucao-normativa-no-144-16-09-2019@@download/arquivo_norma/IN2019-0144 - Retificado.pdf"
"Instrução Normativa"	"Instrução Normativa nº 145, 16/09/2019"	"BPS V. 14, Nº 38, 20/09/2019"	"Altera a Instrução Normativa nº 128, de 6 de novembro de 2018."	"43724"	""	""	""	""	"Retificado no BPS v.14, nº 40, de 4 de outubro de 2019."	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2019/instrucao-normativa-no-145-16-09-2019@@download/arquivo_norma/IN2019-0145 - Retificado.pdf"
"Instrução Normativa"	"Instrução Normativa nº 146, 16/09/2019"	"BPS V. 14, Nº 38, 20/09/2019"	"Altera a Instrução Normativa nº 68, de 26 de março de 2013."	"43724"	""	""	""	""	"Retificado no BPS v.14, nº 40, de 4 de outubro de 2019."	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2019/instrucao-normativa-no-146-16-09-2019@@download/arquivo_norma/IN2019-0146 - Retificado.pdf"
"Instrução Normativa"	"Instrução Normativa nº 147, 16/09/2019"	"BPS V. 14, Nº 38, 20/09/2019"	"Altera a Instrução Normativa nº 73, de 3 de setembro de 2013."	"43724"	""	""	""	""	"Retificado no BPS v.14, nº 40, de 4 de outubro de 2019."	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2019/instrucao-normativa-no-147-16-09-2019@@download/arquivo_norma/IN2019-0147 - Retificado.pdf"
"Instrução Normativa"	"Instrução Normativa nº 148, 16/09/2019"	"BPS V. 14, Nº 38, 20/09/2019"	"Altera a Instrução Normativa nº 44, de 8 de julho de 2010."	"43724"	""	""	""	""	"Retificado no BPS v.14, nº 40, de 4 de outubro de 2019."	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2019/instrucao-normativa-no-148-16-09-2019@@download/arquivo_norma/IN2019-0148 - Retificado.pdf"
"Instrução Normativa"	"Instrução Normativa nº 149, 16/09/2019"	"BPS V. 14, Nº 38, 20/09/2019"	"Altera a Instrução Normativa nº 120, de 22 de fevereiro de 2018."	"43724"	""	""	""	""	"Retificado no BPS v.14, nº 40, de 4 de outubro de 2019."	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2019/instrucao-normativa-no-149-16-09-2019@@download/arquivo_norma/IN2019-0149 - Retificado.pdf"
"Instrução Normativa"	"Instrução Normativa nº 150, 16/09/2019"	"BPS V. 14, Nº 38, 20/09/2019"	"Altera a Instrução Normativa nº 78, de 24 de março de 2014."	"43724"	""	""	""	""	"Retificado no BPS v.14, nº 40, de 4 de outubro de 2019."	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2019/instrucao-normativa-no-150-16-09-2019@@download/arquivo_norma/IN2019-0150 - Retificado.pdf"
"Instrução Normativa"	"Instrução Normativa nº 151, 20/12/2019"	"BPS V.14, Nº 51 S1, 23/12/2019"	"Altera a Instrução Normativa nº 70, de 30 de abril de 2013."	"43819"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2019/instrucao-normativa-no-151-20-12-2019@@download/arquivo_norma/IN2019-0151.pdf"
"Instrução Normativa"	"Instrução Normativa nº 152, 06/02/2020"	"BPS V.15, Nº 6 S1, 10/02/2020"	"Altera a Instrução Normativa no 66, de 13 de novembro de 2012."	"43867"	""	""	""	""	""	"https://www.anac.gov.br/assuntos/legislacao/legislacao-1/instrucoes-normativas/2020/instrucao-normativa-no-152-06-02-2020@@download/arquivo_norma/ IN2020-0152.pdf"
