ID;​​Manufacturer;​Model;​Type Designator;​Description;​Engine Type;​Engine Count;​​WTC
2465;CASA;Aviocar;C212;LandPlane;Turboprop/Turboshaft;2;M
2466;CASA;Aviojet;C101;LandPlane;Jet;1;L
2467;CASA;BK-117;BK17;Helicopter;Turboprop/Turboshaft;2;L
2468;CASA;BO-105;B105;Helicopter;Turboprop/Turboshaft;2;L
2469;CASA;C-41 Aviocar;C212;LandPlane;Turboprop/Turboshaft;2;M
2470;CASA;C-101 Aviojet;C101;LandPlane;Jet;1;L
2471;CASA;C-105 Amazonas;C295;LandPlane;Turboprop/Turboshaft;2;M
2472;CASA;C-212 Aviocar;C212;LandPlane;Turboprop/Turboshaft;2;M
2473;CASA;C-295;C295;LandPlane;Turboprop/Turboshaft;2;M
2474;CASA;C-295 Persuader;C295;LandPlane;Turboprop/Turboshaft;2;M
2475;CASA;CN-235;CN35;LandPlane;Turboprop/Turboshaft;2;M
2476;CASA;CN-235 Persuader;CN35;LandPlane;Turboprop/Turboshaft;2;M
2477;CASA;Cougar;AS32;Helicopter;Turboprop/Turboshaft;2;M
2478;CASA;EAV-8 Matador;HAR;LandPlane;Jet;1;M
2479;CASA;Eurofighter 2000;EUFI;LandPlane;Jet;2;M
2480;CASA;Flamingo;S223;LandPlane;Piston;1;L
2481;CASA;HA-220 Super Saeta;SATA;LandPlane;Jet;2;L
2482;CASA;SC-105 Amazonas;C295;LandPlane;Turboprop/Turboshaft;2;M
2483;CASA;C-101 Mirlo;C101;LandPlane;Jet;1;L
2484;CASA;T-35 Tamiz;PILL;LandPlane;Piston;1;L
2485;CASSUTT;Special;CASS;LandPlane;Piston;1;L
2486;CATA;LMK-1 Oryx;LMK1;LandPlane;Piston;1;L
2487;CATA;Oryx;LMK1;LandPlane;Piston;1;L
2488;CAUDRON;C-270 Luciole;C270;LandPlane;Piston;1;L
2489;CAUDRON;C-272 Luciole;C270;LandPlane;Piston;1;L
2490;CAUDRON;C-275 Luciole;C270;LandPlane;Piston;1;L
2491;CAUDRON;CR-760 Cyclone Replica;JN76;LandPlane;Piston;1;L
2492;CAUDRON;Cyclone Replica;JN76;LandPlane;Piston;1;L
2493;CAUDRON;G-3;CG3;LandPlane;Piston;1;L
2494;CAUDRON;G-3 Replica;CG3;LandPlane;Piston;1;L
2495;CAUDRON;JN-760 Cyclone Replica;JN76;LandPlane;Piston;1;L
2496;CAUDRON;Luciole;C270;LandPlane;Piston;1;L
2497;CCF;Harvard;T6;LandPlane;Piston;1;L
2498;CCF;Mentor;T34P;LandPlane;Piston;1;L
2499;CCF;Norseman;NORS;LandPlane;Piston;1;L
2500;CCF;T-6 Harvard;T6;LandPlane;Piston;1;L
2501;CCF;T-34 Mentor;T34P;LandPlane;Piston;1;L
2502;CEA;CEA-309 Mehari;C309;LandPlane;Piston;1;L
2503;CEA;Mehari;C309;LandPlane;Piston;1;L
2504;CEA;CEA-311 Anequim;C311;LandPlane;Piston;1;L
2505;CEA;Anequim;C311;LandPlane;Piston;1;L
2506;CEI;Free Spirit;FREE;LandPlane;Piston;1;L
2507;CEI;RC-412 Free Spirit;FREE;LandPlane;Piston;1;L
2508;CELAIR;Eagle 300;CEGL;LandPlane;Piston;1;L
2509;CELIER;Xenon;XNON;Gyrocopter;Piston;1;L
2510;CENTRE EST;2+2;DR22;LandPlane;Piston;1;L
2511;CENTRE EST;Ambassadeur;DR10;LandPlane;Piston;1;L
2512;CENTRE EST;Capitaine;D250;LandPlane;Piston;1;L
2513;CENTRE EST;Chevalier;DR30;LandPlane;Piston;1;L
2514;CENTRE EST;Dauphin;DR22;LandPlane;Piston;1;L
2515;CENTRE EST;DR-100 Ambassadeur;DR10;LandPlane;Piston;1;L
2516;CENTRE EST;DR-105 Ambassadeur;DR10;LandPlane;Piston;1;L
2517;CENTRE EST;DR-200;D250;LandPlane;Piston;1;L
2518;CENTRE EST;DR-220 2+2;DR22;LandPlane;Piston;1;L
2519;CENTRE EST;DR-221 Dauphin;DR22;LandPlane;Piston;1;L
2520;CENTRE EST;DR-250 Capitaine;D250;LandPlane;Piston;1;L
2521;CENTRE EST;DR-253 Regent;D253;LandPlane;Piston;1;L
2522;CENTRE EST;DR-315 Petit Prince;DR30;LandPlane;Piston;1;L
2523;CENTRE EST;DR-340 Major;DR30;LandPlane;Piston;1;L
2524;CENTRE EST;DR-360 Chevalier;DR30;LandPlane;Piston;1;L
2525;CENTRE EST;DR-380 Prince;DR30;LandPlane;Piston;1;L
2526;CENTRE EST;DR-1050 Ambassadeur;DR10;LandPlane;Piston;1;L
2527;CENTRE EST;DR-1050 Sicile;DR10;LandPlane;Piston;1;L
2528;CENTRE EST;DR-1050 Sicile Record;DR10;LandPlane;Piston;1;L
2529;CENTRE EST;DR-1051 Ambassadeur;DR10;LandPlane;Piston;1;L
2530;CENTRE EST;DR-1051 Sicile;DR10;LandPlane;Piston;1;L
2531;CENTRE EST;DR-1051 Sicile Record;DR10;LandPlane;Piston;1;L
2532;CENTRE EST;Major;DR30;LandPlane;Piston;1;L
2533;CENTRE EST;Petit Prince;DR30;LandPlane;Piston;1;L
2534;CENTRE EST;Prince;DR30;LandPlane;Piston;1;L
2535;CENTRE EST;Regent;D253;LandPlane;Piston;1;L
2536;CENTRE EST;Sicile;DR10;LandPlane;Piston;1;L
2537;CENTRE EST;Sicile Record;DR10;LandPlane;Piston;1;L
2538;CENTURY;Jetstream 3;JS3;LandPlane;Turboprop/Turboshaft;2;L
2539;CERVA;CE-43 Guepard;CE43;LandPlane;Piston;1;L
2540;CERVA;Guepard;CE43;LandPlane;Piston;1;L
2541;CESSNA;120;C120;LandPlane;Piston;1;L
2542;CESSNA;140;C140;LandPlane;Piston;1;L
2543;CESSNA;150;C150;LandPlane;Piston;1;L
2544;CESSNA;150 Commuter;C150;LandPlane;Piston;1;L
2545;CESSNA;152;C152;LandPlane;Piston;1;L
2546;CESSNA;170;C170;LandPlane;Piston;1;L
2547;CESSNA;172;C172;LandPlane;Piston;1;L
2548;CESSNA;172 Cutlass;C172;LandPlane;Piston;1;L
2549;CESSNA;172 Skyhawk;C172;LandPlane;Piston;1;L
2550;CESSNA;172RG Cutlass RG;C72R;LandPlane;Piston;1;L
2551;CESSNA;175;C175;LandPlane;Piston;1;L
2552;CESSNA;175 Skylark;C175;LandPlane;Piston;1;L
2553;CESSNA;177;C177;LandPlane;Piston;1;L
2554;CESSNA;177 Cardinal;C177;LandPlane;Piston;1;L
2555;CESSNA;177RG Cardinal RG;C77R;LandPlane;Piston;1;L
2556;CESSNA;180;C180;LandPlane;Piston;1;L
2557;CESSNA;162 Skycatcher;C162;LandPlane;Piston;1;L
2558;CESSNA;180 Skywagon 180;C180;LandPlane;Piston;1;L
2559;CESSNA;182;C182;LandPlane;Piston;1;L
2560;CESSNA;182 Skylane;C182;LandPlane;Piston;1;L
2561;CESSNA;185 Skywagon;C185;LandPlane;Piston;1;L
2562;CESSNA;188 AgPickup;C188;LandPlane;Piston;1;L
2563;CESSNA;188 AgWagon;C188;LandPlane;Piston;1;L
2564;CESSNA;190;C190;LandPlane;Piston;1;L
2565;CESSNA;195;C195;LandPlane;Piston;1;L
2566;CESSNA;205;C205;LandPlane;Piston;1;L
2567;CESSNA;206 (turbine);C06T;LandPlane;Turboprop/Turboshaft;1;L
2568;CESSNA;206 Stationair;C206;LandPlane;Piston;1;L
2569;CESSNA;206 Super Skywagon;C206;LandPlane;Piston;1;L
2570;CESSNA;207 (turbine);C07T;LandPlane;Turboprop/Turboshaft;1;L
2571;CESSNA;207 Stationair 7;C207;LandPlane;Piston;1;L
2572;CESSNA;207 Stationair 8;C207;LandPlane;Piston;1;L
2573;CESSNA;208 Caravan 1;C208;LandPlane;Turboprop/Turboshaft;1;L
2574;CESSNA;208 Cargomaster;C208;LandPlane;Turboprop/Turboshaft;1;L
2575;CESSNA;208 Grand Caravan;C208;LandPlane;Turboprop/Turboshaft;1;L
2576;CESSNA;208 Super Cargomaster;C208;LandPlane;Turboprop/Turboshaft;1;L
2577;CESSNA;210;C210;LandPlane;Piston;1;L
2578;CESSNA;210 Centurion;C210;LandPlane;Piston;1;L
2579;CESSNA;305 Bird Dog;O1;LandPlane;Piston;1;L
2580;CESSNA;310;C310;LandPlane;Piston;2;L
2581;CESSNA;318A;T37;LandPlane;Jet;2;L
2582;CESSNA;318B;T37;LandPlane;Jet;2;L
2583;CESSNA;318C;T37;LandPlane;Jet;2;L
2584;CESSNA;318D Dragonfly;A37;LandPlane;Jet;2;L
2585;CESSNA;318E Dragonfly;A37;LandPlane;Jet;2;L
2586;CESSNA;320 Executive Skyknight;C320;LandPlane;Piston;2;L
2587;CESSNA;320 Skyknight;C320;LandPlane;Piston;2;L
2588;CESSNA;321 Bird Dog;O1;LandPlane;Piston;1;L
2589;CESSNA;335;C335;LandPlane;Piston;2;L
2590;CESSNA;336 Skymaster;C336;LandPlane;Piston;2;L
2591;CESSNA;337 Super Skymaster;C337;LandPlane;Piston;2;L
2592;CESSNA;340;C340;LandPlane;Piston;2;L
2593;CESSNA;401;C402;LandPlane;Piston;2;L
2594;CESSNA;402;C402;LandPlane;Piston;2;L
2595;CESSNA;402 (turbine);C02T;LandPlane;Turboprop/Turboshaft;2;L
2596;CESSNA;402 Businessliner;C402;LandPlane;Piston;2;L
2597;CESSNA;402 Utililiner;C402;LandPlane;Piston;2;L
2598;CESSNA;404 (turbine);C04T;LandPlane;Turboprop/Turboshaft;2;L
2599;CESSNA;404 Titan;C404;LandPlane;Piston;2;L
2600;CESSNA;411;C411;LandPlane;Piston;2;L
2601;CESSNA;414;C414;LandPlane;Piston;2;L
2602;CESSNA;414 (turbine);C14T;LandPlane;Turboprop/Turboshaft;2;L
2603;CESSNA;414 Chancellor;C414;LandPlane;Piston;2;L
2604;CESSNA;421;C421;LandPlane;Piston;2;L
2605;CESSNA;421 (turbine);C21T;LandPlane;Turboprop/Turboshaft;2;L
2606;CESSNA;421 Executive Commuter;C421;LandPlane;Piston;2;L
2607;CESSNA;421 Golden Eagle;C421;LandPlane;Piston;2;L
2608;CESSNA;425 Conquest 1;C425;LandPlane;Turboprop/Turboshaft;2;L
2609;CESSNA;425 Corsair;C425;LandPlane;Turboprop/Turboshaft;2;L
2610;CESSNA;441 Conquest;C441;LandPlane;Turboprop/Turboshaft;2;L
2611;CESSNA;441 Conquest 2;C441;LandPlane;Turboprop/Turboshaft;2;L
2612;CESSNA;500 Citation;C500;LandPlane;Jet;2;L
2613;CESSNA;500 Citation 1;C500;LandPlane;Jet;2;L
2614;CESSNA;501 Citation 1SP;C501;LandPlane;Jet;2;L
2615;CESSNA;510 Citation Mustang;C510;LandPlane;Jet;2;L
2616;CESSNA;525 Citation CJ1;C525;LandPlane;Jet;2;L
2617;CESSNA;525 CitationJet;C525;LandPlane;Jet;2;L
2618;CESSNA;525A Citation CJ2;C25A;LandPlane;Jet;2;L
2619;CESSNA;525B Citation CJ3;C25B;LandPlane;Jet;2;L
2620;CESSNA;525C Citation CJ4;C25C;LandPlane;Jet;2;M
2621;CESSNA;526 CitationJet;C526;LandPlane;Jet;2;L
2622;CESSNA;550 Citation 2;C550;LandPlane;Jet;2;L
2623;CESSNA;551 Citation 2SP;C551;LandPlane;Jet;2;L
2624;CESSNA;560 Citation 5;C560;LandPlane;Jet;2;M
2625;CESSNA;560 Citation Encore;C560;LandPlane;Jet;2;M
2626;CESSNA;550B Citation Bravo;C55B;LandPlane;Jet;2;L
2627;CESSNA;Citation Bravo;C55B;LandPlane;Jet;2;L
2628;CESSNA;560 Citation Ultra;C560;LandPlane;Jet;2;M
2629;CESSNA;560XL Citation Excel;C56X;LandPlane;Jet;2;M
2630;CESSNA;560XL Citation XLS;C56X;LandPlane;Jet;2;M
2631;CESSNA;650 Citation 3;C650;LandPlane;Jet;2;M
2632;CESSNA;650 Citation 6;C650;LandPlane;Jet;2;M
2633;CESSNA;650 Citation 7;C650;LandPlane;Jet;2;M
2634;CESSNA;680 Citation Sovereign;C680;LandPlane;Jet;2;M
2635;CESSNA;750 Citation 10;C750;LandPlane;Jet;2;M
2636;CESSNA;A-37 Dragonfly;A37;LandPlane;Jet;2;L
2637;CESSNA;A150 Aerobat;C150;LandPlane;Piston;1;L
2638;CESSNA;A152 Aerobat;C152;LandPlane;Piston;1;L
2639;CESSNA;A185 AgCarryall;C185;LandPlane;Piston;1;L
2640;CESSNA;A185 Skywagon 185;C185;LandPlane;Piston;1;L
2641;CESSNA;A188 AgTruck;C188;LandPlane;Piston;1;L
2642;CESSNA;A188 AgWagon;C188;LandPlane;Piston;1;L
2643;CESSNA;Aerobat (A150);C150;LandPlane;Piston;1;L
2644;CESSNA;Aerobat (A152);C152;LandPlane;Piston;1;L
2645;CESSNA;AgCarryall;C185;LandPlane;Piston;1;L
2646;CESSNA;AgHusky;C188;LandPlane;Piston;1;L
2647;CESSNA;AgPickup;C188;LandPlane;Piston;1;L
2648;CESSNA;AgTruck;C188;LandPlane;Piston;1;L
2649;CESSNA;AgWagon;C188;LandPlane;Piston;1;L
2650;CESSNA;Airmaster;CMAS;LandPlane;Piston;1;L
2651;CESSNA;AT-8 Bobcat;T50;LandPlane;Piston;2;L
2652;CESSNA;AT-17 Bobcat;T50;LandPlane;Piston;2;L
2653;CESSNA;AW;CAW;LandPlane;Piston;1;L
2654;CESSNA;Bird Dog;O1;LandPlane;Piston;1;L
2655;CESSNA;Bobcat;T50;LandPlane;Piston;2;L
2656;CESSNA;Businessliner;C402;LandPlane;Piston;2;L
2657;CESSNA;C-34;CMAS;LandPlane;Piston;1;L
2658;CESSNA;C-37;CMAS;LandPlane;Piston;1;L
2659;CESSNA;C-38 Airmaster;CMAS;LandPlane;Piston;1;L
2660;CESSNA;C-98;C208;LandPlane;Turboprop/Turboshaft;1;L
2661;CESSNA;C-145 Airmaster;CMAS;LandPlane;Piston;1;L
2662;CESSNA;C-165 Airmaster;CMAS;LandPlane;Piston;1;L
2663;CESSNA;Caravan 1;C208;LandPlane;Turboprop/Turboshaft;1;L
2664;CESSNA;Caravan 2;F406;LandPlane;Turboprop/Turboshaft;2;L
2665;CESSNA;Cardinal;C177;LandPlane;Piston;1;L
2666;CESSNA;Cardinal RG;C77R;LandPlane;Piston;1;L
2667;CESSNA;Cargomaster;C208;LandPlane;Turboprop/Turboshaft;1;L
2668;CESSNA;Centurion;C210;LandPlane;Piston;1;L
2669;CESSNA;Chancellor;C414;LandPlane;Piston;2;L
2670;CESSNA;Citation 1;C500;LandPlane;Jet;2;L
2671;CESSNA;Citation 1SP;C501;LandPlane;Jet;2;L
2672;CESSNA;Citation 2;C550;LandPlane;Jet;2;L
2673;CESSNA;Citation 2SP;C551;LandPlane;Jet;2;L
2674;CESSNA;Citation 3;C650;LandPlane;Jet;2;M
2675;CESSNA;Citation 5;C560;LandPlane;Jet;2;M
2676;CESSNA;Citation 6;C650;LandPlane;Jet;2;M
2677;CESSNA;Citation 7;C650;LandPlane;Jet;2;M
2678;CESSNA;Citation 10;C750;LandPlane;Jet;2;M
2679;CESSNA;Citation CJ1;C525;LandPlane;Jet;2;L
2680;CESSNA;Citation CJ2;C25A;LandPlane;Jet;2;L
2681;CESSNA;Citation CJ3;C25B;LandPlane;Jet;2;L
2682;CESSNA;Citation CJ4;C25C;LandPlane;Jet;2;M
2683;CESSNA;Citation Encore;C560;LandPlane;Jet;2;M
2684;CESSNA;Citation Excel;C56X;LandPlane;Jet;2;M
2685;CESSNA;Citation Mustang;C510;LandPlane;Jet;2;L
2686;CESSNA;Citation S2;C550;LandPlane;Jet;2;L
2687;CESSNA;Citation Sovereign;C680;LandPlane;Jet;2;M
2688;CESSNA;Citation Ultra;C560;LandPlane;Jet;2;M
2689;CESSNA;Citation XLS;C56X;LandPlane;Jet;2;M
2690;CESSNA;CitationJet (525);C525;LandPlane;Jet;2;L
2691;CESSNA;CitationJet (526);C526;LandPlane;Jet;2;L
2692;CESSNA;Commuter;C150;LandPlane;Piston;1;L
2693;CESSNA;Conquest;C441;LandPlane;Turboprop/Turboshaft;2;L
2694;CESSNA;Conquest 1;C425;LandPlane;Turboprop/Turboshaft;2;L
2695;CESSNA;Conquest 2;C441;LandPlane;Turboprop/Turboshaft;2;L
2696;CESSNA;Corsair;C425;LandPlane;Turboprop/Turboshaft;2;L
2697;CESSNA;Crane;T50;LandPlane;Piston;2;L
2698;CESSNA;Crusader;C303;LandPlane;Piston;2;L
2699;CESSNA;Cutlass;C172;LandPlane;Piston;1;L
2700;CESSNA;Cutlass RG;C72R;LandPlane;Piston;1;L
2701;CESSNA;DC-6;CDC6;LandPlane;Piston;1;L
2702;CESSNA;Dragonfly;A37;LandPlane;Jet;2;L
2703;CESSNA;Executive Commuter;C421;LandPlane;Piston;2;L
2704;CESSNA;Executive Skyknight;C320;LandPlane;Piston;2;L
2705;CESSNA;F406 Caravan 2;F406;LandPlane;Turboprop/Turboshaft;2;L
2706;CESSNA;F406 Vigilant;F406;LandPlane;Turboprop/Turboshaft;2;L
2707;CESSNA;Golden Eagle;C421;LandPlane;Piston;2;L
2708;CESSNA;Grand Caravan;C208;LandPlane;Turboprop/Turboshaft;1;L
2709;CESSNA;Hawk XP;C172;LandPlane;Piston;1;L
2710;CESSNA;L-19 Bird Dog;O1;LandPlane;Piston;1;L
2711;CESSNA;L-27;C310;LandPlane;Piston;2;L
2712;CESSNA;LC-126;C195;LandPlane;Piston;1;L
2713;CESSNA;M337 Super Skymaster;C337;LandPlane;Piston;2;L
2714;CESSNA;MC337 Super Skymaster;C337;LandPlane;Piston;2;L
2715;CESSNA;Mescalero;C172;LandPlane;Piston;1;L
2716;CESSNA;NGP;CNGP;LandPlane;Piston;1;L
2717;CESSNA;O-1 Bird Dog;O1;LandPlane;Piston;1;L
2718;CESSNA;O-2 Super Skymaster;C337;LandPlane;Piston;2;L
2719;CESSNA;Skycatcher;C162;LandPlane;Piston;1;L
2720;CESSNA;OA-37 Dragonfly;A37;LandPlane;Jet;2;L
2721;CESSNA;OE Bird Dog;O1;LandPlane;Piston;1;L
2722;CESSNA;OT-47 Citation Ultra;C560;LandPlane;Jet;2;M
2723;CESSNA;P172 Skyhawk Powermatic;C172;LandPlane;Piston;1;L
2724;CESSNA;P206 Super Skylane;C206;LandPlane;Piston;1;L
2725;CESSNA;P210 (turbine);C10T;LandPlane;Turboprop/Turboshaft;1;L
2726;CESSNA;P210 Pressurized Centurion;P210;LandPlane;Piston;1;L
2727;CESSNA;P337 Pressurized Skymaster;P337;LandPlane;Piston;2;L
2728;CESSNA;Pressurized Centurion;P210;LandPlane;Piston;1;L
2729;CESSNA;Pressurized Skymaster;P337;LandPlane;Piston;2;L
2730;CESSNA;R172;C172;LandPlane;Piston;1;L
2731;CESSNA;R172 Hawk XP;C172;LandPlane;Piston;1;L
2732;CESSNA;R182 Skylane RG;C82R;LandPlane;Piston;1;L
2733;CESSNA;S550 Citation S2;C550;LandPlane;Jet;2;L
2734;CESSNA;Skyhawk;C172;LandPlane;Piston;1;L
2735;CESSNA;Skyhawk Powermatic;C172;LandPlane;Piston;1;L
2736;CESSNA;Skyknight;C320;LandPlane;Piston;2;L
2737;CESSNA;Skylane;C182;LandPlane;Piston;1;L
2738;CESSNA;Skylane RG;C82R;LandPlane;Piston;1;L
2739;CESSNA;Skylark;C175;LandPlane;Piston;1;L
2740;CESSNA;Skymaster;C336;LandPlane;Piston;2;L
2741;CESSNA;TP206 Turbo Super Skylane;T206;LandPlane;Piston;1;L
2742;CESSNA;TU206 Turbo Super Skywagon;T206;LandPlane;Piston;1;L
2743;CESSNA;TU206 Turbo Skywagon 206;T206;LandPlane;Piston;1;L
2744;CESSNA;TU206 Turbo Stationair;T206;LandPlane;Piston;1;L
2745;CESSNA;TU206 Turbo Stationair 6;T206;LandPlane;Piston;1;L
2746;CESSNA;T210 Turbo Centurion;T210;LandPlane;Piston;1;L
2747;CESSNA;Turbo Centurion;T210;LandPlane;Piston;1;L
2748;CESSNA;400 Corvalis TT;COL4;LandPlane;Piston;1;L
2749;CESSNA;LC-41;COL4;LandPlane;Piston;1;L
2750;CESSNA;LC-41 Corvalis TT;COL4;LandPlane;Piston;1;L
2751;CESSNA;T182 Turbo Skylane;C82S;LandPlane;Piston;1;L
2752;CESSNA;Turbo Skywagon 207;C207;LandPlane;Piston;1;L
2753;CESSNA;Turbo Stationair 7;C207;LandPlane;Piston;1;L
2754;CESSNA;Turbo Stationair 8;C207;LandPlane;Piston;1;L
2755;CESSNA;Turbo Super Skymaster;C337;LandPlane;Piston;2;L
2756;CESSNA;U-3;C310;LandPlane;Piston;2;L
2757;CESSNA;U-17A;C185;LandPlane;Piston;1;L
2758;CESSNA;U-17B;C185;LandPlane;Piston;1;L
2759;CESSNA;U-17C;C180;LandPlane;Piston;1;L
2760;CESSNA;U-27;C208;LandPlane;Turboprop/Turboshaft;1;L
2761;CESSNA;U206 Skywagon 206;C206;LandPlane;Piston;1;L
2762;CESSNA;U206 Stationair;C206;LandPlane;Piston;1;L
2763;CESSNA;U206 Stationair 6;C206;LandPlane;Piston;1;L
2764;CESSNA;U206 Super Skywagon;C206;LandPlane;Piston;1;L
2765;CESSNA;UC-35 Citation Encore;C560;LandPlane;Jet;2;M
2766;CESSNA;UC-35 Citation Ultra;C560;LandPlane;Jet;2;M
2767;CESSNA;Skywagon;C185;LandPlane;Piston;1;L
2768;CESSNA;Skywagon 180;C180;LandPlane;Piston;1;L
2769;CESSNA;Skywagon 206;C206;LandPlane;Piston;1;L
2770;CESSNA;Skywagon 207;C207;LandPlane;Piston;1;L
2771;CESSNA;Stationair;C206;LandPlane;Piston;1;L
2772;CESSNA;Stationair 6;C206;LandPlane;Piston;1;L
2773;CESSNA;Stationair 7;C207;LandPlane;Piston;1;L
2774;CESSNA;Stationair 8;C207;LandPlane;Piston;1;L
2775;CESSNA;Super Cargomaster;C208;LandPlane;Turboprop/Turboshaft;1;L
2776;CESSNA;Super Skylane;C206;LandPlane;Piston;1;L
2777;CESSNA;Super Skymaster;C337;LandPlane;Piston;2;L
2778;CESSNA;Super Skywagon;C206;LandPlane;Piston;1;L
2779;CESSNA;T-37;T37;LandPlane;Jet;2;L
2780;CESSNA;T-41 Mescalero;C172;LandPlane;Piston;1;L
2781;CESSNA;T-50 Bobcat;T50;LandPlane;Piston;2;L
2782;CESSNA;T188 AgHusky;C188;LandPlane;Piston;1;L
2783;CESSNA;T207 Turbo Skywagon 207;C207;LandPlane;Piston;1;L
2784;CESSNA;T207 Turbo Stationair 7;C207;LandPlane;Piston;1;L
2785;CESSNA;T206 Turbo Stationair;T206;LandPlane;Piston;1;L
2786;CESSNA;T206 Stationair TC;T206;LandPlane;Piston;1;L
2787;CESSNA;Turbo Skylane;C82S;LandPlane;Piston;1;L
2788;CESSNA;T207 Turbo Stationair 8;C207;LandPlane;Piston;1;L
2789;CESSNA;T303 Crusader;C303;LandPlane;Piston;2;L
2790;CESSNA;T310;C310;LandPlane;Piston;2;L
2791;CESSNA;T337B Turbo Super Skymaster;C337;LandPlane;Piston;2;L
2792;CESSNA;T337C Turbo Super Skymaster;C337;LandPlane;Piston;2;L
2793;CESSNA;T337D Turbo Super Skymaster;C337;LandPlane;Piston;2;L
2794;CESSNA;T337E Turbo Super Skymaster;C337;LandPlane;Piston;2;L
2795;CESSNA;T337F Turbo Super Skymaster;C337;LandPlane;Piston;2;L
2796;CESSNA;T337G Pressurized Skymaster;P337;LandPlane;Piston;2;L
2797;CESSNA;T337H Turbo Super Skymaster;C337;LandPlane;Piston;2;L
2798;CESSNA;Titan;C404;LandPlane;Piston;2;L
2799;CESSNA;TL-19 Bird Dog;O1;LandPlane;Piston;1;L
2800;CESSNA;TO-1 Bird Dog;O1;LandPlane;Piston;1;L
2801;CESSNA;Stationair TC;T206;LandPlane;Piston;1;L
2802;CESSNA;Turbo Stationair;T206;LandPlane;Piston;1;L
2803;CESSNA;Turbo Super Skylane;T206;LandPlane;Piston;1;L
2804;CESSNA;Turbo Super Skywagon;T206;LandPlane;Piston;1;L
2805;CESSNA;Turbo Skylane RG;C82T;LandPlane;Piston;1;L
2806;CESSNA;UC-78 Bobcat;T50;LandPlane;Piston;2;L
2807;CESSNA;Utililiner;C402;LandPlane;Piston;2;L
2808;CESSNA;Vigilant;F406;LandPlane;Turboprop/Turboshaft;2;L
2809;CESSNA;680A Citation Latitude;C68A;LandPlane;Jet;2;M
2810;CESSNA;400;COL4;LandPlane;Piston;1;L
2811;CESSNA;LC-42 Corvalis;COL3;LandPlane;Piston;1;L
2812;CESSNA;350 Corvalis;COL3;LandPlane;Piston;1;L
2813;CESSNA;Corvalis;COL3;LandPlane;Piston;1;L
2814;CESSNA;Corvalis TT;COL4;LandPlane;Piston;1;L
2815;CESSNA;350;COL3;LandPlane;Piston;1;L
2816;CESSNA;LC-42;COL3;LandPlane;Piston;1;L
2817;CESSNA;525 Citation M2;C25M;LandPlane;Jet;2;L
2818;CESSNA;Citation M2;C25M;LandPlane;Jet;2;L
2819;CESSNA;408 SkyCourier;C408;LandPlane;Turboprop/Turboshaft;2;L
2820;CESSNA;SkyCourier;C408;LandPlane;Turboprop/Turboshaft;2;L
2821;CESSNA;T-51;C150;LandPlane;Piston;1;L
2822;CESSNA;208 Caravan 675;C208;LandPlane;Turboprop/Turboshaft;1;L
2823;CESSNA;T240 Corvalis TTx;C240;LandPlane;Piston;1;L
2824;CESSNA;Corvalis TTx;C240;LandPlane;Piston;1;L
2825;CESSNA;T240 TTx;C240;LandPlane;Piston;1;L
2826;CESSNA;TTx;C240;LandPlane;Piston;1;L
2827;CESSNA;Turbo Skywagon 206;T206;LandPlane;Piston;1;L
2828;CESSNA;Turbo Stationair 6;T206;LandPlane;Piston;1;L
2829;CESSNA;TR182 Turbo Skylane RG;C82T;LandPlane;Piston;1;L
2830;CESSNA;AC-208 Combat Caravan;C208;LandPlane;Turboprop/Turboshaft;1;L
2831;CESSNA;Caravan 675;C208;LandPlane;Turboprop/Turboshaft;1;L
2832;CESSNA;Combat Caravan;C208;LandPlane;Turboprop/Turboshaft;1;L
2833;CESSNA;Citation Latitude;C68A;LandPlane;Jet;2;M
2834;CESSNA;E350;E350;LandPlane;Turboprop/Turboshaft;1;L
2835;CESSNA;700 Citation Longitude;C700;LandPlane;Jet;2;M
2836;CESSNA;Citation Longitude;C700;LandPlane;Jet;2;M
2837;CESSNA;E530 Scorpion;E530;LandPlane;Jet;2;M
2838;CESSNA;Scorpion;E530;LandPlane;Jet;2;M
2839;CFM;SA-2 Star Streak;STST;LandPlane;Piston;1;L
2840;CFM;Star Streak;STST;LandPlane;Piston;1;L
2841;CHAIKA;L-4;L4;Amphibian;Piston;2;L
2842;CHAIKA;L-42;L4;Amphibian;Piston;2;L
2843;CHAIKA;L-44;L4;Amphibian;Piston;2;L
2844;CHALARD;JRC-01 Julcar;JRC1;LandPlane;Piston;1;L
2845;CHALARD;Julcar;JRC1;LandPlane;Piston;1;L
2846;CHAMPION;7EC Traveler;CH7A;LandPlane;Piston;1;L
2847;CHAMPION;7ECA Citabria;CH7A;LandPlane;Piston;1;L
2848;CHAMPION;7FC Tri-Traveler;CH7A;LandPlane;Piston;1;L
2849;CHAMPION;7GC Sky-Trac;CH7B;LandPlane;Piston;1;L
2850;CHAMPION;7GCA Sky-Trac;CH7B;LandPlane;Piston;1;L
2851;CHAMPION;7GCAA;CH7B;LandPlane;Piston;1;L
2852;CHAMPION;7GCB Challenger;CH7B;LandPlane;Piston;1;L
2853;CHAMPION;7GCBA Challenger;CH7B;LandPlane;Piston;1;L
2854;CHAMPION;7GCBC Citabria;CH7B;LandPlane;Piston;1;L
2855;CHAMPION;7HC DX'er;CH7B;LandPlane;Piston;1;L
2856;CHAMPION;7JC Tri-Con;CH7A;LandPlane;Piston;1;L
