Norma	Data da publicação	Norma-URL	Ementa	Arquivo-URL	tag
IS 39-001C	2019-08-03	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-39-001	Diretrizes de Aeronavegabilidade.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-39-001/@@display-file/arquivo_norma/IS39-001C.pdf	
IS 43-001A	2009-05-13	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-001	Elegibilidade, qualidade e identificação de peças de reposição.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-001/@@display-file/arquivo_norma/IS_43-001A.pdf	
IS 43-012B	2019-04-06	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-012	Manutenção preventiva por pilotos.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-012/@@display-file/arquivo_norma/IS43-012B.pdf	
IS 43.1-001A	2016-12-17	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43.1-001	Certificação expedita de OM estrangeira não certificada pela ANAC nos termos do parágrafo RBAC 43.1(e)-I.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43.1-001/@@display-file/arquivo_norma/IS43.1-001A.pdf	43.1
IS 43.9-001B	2020-07-28	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-9-001	Instruções para Preenchimento do Formulário F-400-04 (SEGVOO 001).	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-9-001/@@display-file/arquivo_norma/IS43.9-001B.pdf	43.9
IS 43.9-002B	2016-08-27	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-9-002	Uso e preenchimento do Certificado de Liberação Autorizada (Etiqueta de Aprovação de Aeronavegabilidade).	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-9-002/@@display-file/arquivo_norma/IS43.9-002B.pdf	43.9
IS 43.9-003B	2020-02-29	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-9-003	Caderneta de célula, de motor e de hélice.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-9-003/@@display-file/arquivo_norma/IS43.9-003B.pdf	43.9
IS 43.9-004A	2019-11-09	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-9-004	Sistema de Documentos e Registros de Manutenção Eletrônicos - SDRMe.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-9-004/@@display-file/arquivo_norma/IS43.9-004A.pdf	43.9
IS 43.13-005A	2013-08-28	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-13-005	Ferramentas especiais.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-13-005/@@display-file/arquivo_norma/IS43.13-005A.pdf	43.13
IS 43.13-003C	2013-09-28	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-13-003	Ensaios não destrutivos na manutenção de produto aeronáutico.	https://www.anac.gov.br/assuntos/legislacao/legislacao-1/iac-e-is/is/is-43-13-003/@@display-file/arquivo_norma/IS43.13-003C.pdf	43.13
